Ref No,Amount,Value Date,Ccy,Particulars
REF2049,3070.76,2026-06-04,USD,PYMT RECEIVED - INV SETTLEMENT
REF2065,1907.63,2026-06-01,USD,TRANSFER IN - CLIENT FUNDS
REF2057,237.10,2026-06-02,USD,ACH CREDIT - VENDOR SETTLEMENT
REF2008,479.40,2026-06-08,USD,WIRE IN - SERVICES RENDERED
REF2005,2664.21,2026-06-05,USD,DIRECT DEBIT - SUBSCRIPTION
REF2029,3033.76,2026-06-01,USD,TRANSFER - EQUIPMENT SALE
REF2034,951.30,2026-06-06,USD,CREDIT - CONSULTING FEE
REF2014,1581.69,2026-06-14,USD,PAYMENT - UTILITIES
REF2039,517.85,2026-06-11,USD,TRANSFER - INSURANCE CLAIM
REF2021,2366.18,2026-06-21,USD,RENT COLLECTION
REF2035,4351.80,2026-06-07,USD,REIMBURSEMENT CREDIT
REF2009,2414.54,2026-06-09,USD,LICENSE FEE RECEIVED
REF2040,619.10,2026-06-12,USD,CAMPAIGN SETTLEMENT
REF2067,1981.40,2026-06-03,USD,CONTRACTOR REMITTANCE
REF2001,5002.87,2026-06-01,USD,LOAN INSTALLMENT RECEIVED
REF2056,34.06,2026-06-01,USD,PYMT RECEIVED - INV SETTLEMENT
REF2043,3419.84,2026-06-15,USD,TRANSFER IN - CLIENT FUNDS
REF2006,261.05,2026-06-06,USD,ACH CREDIT - VENDOR SETTLEMENT
REF2018,3999.64,2026-06-18,USD,WIRE IN - SERVICES RENDERED
REF2036,3415.59,2026-06-08,USD,DIRECT DEBIT - SUBSCRIPTION
REF2066,234.51,2026-06-02,USD,TRANSFER - EQUIPMENT SALE
REF2003,506.02,2026-06-03,USD,CREDIT - CONSULTING FEE
REF2055,1746.41,2026-06-21,USD,PAYMENT - UTILITIES
REF2031,3311.89,2026-06-03,USD,TRANSFER - INSURANCE CLAIM
REF2015,3549.03,2026-06-15,USD,RENT COLLECTION
REF2007,296.08,2026-06-07,USD,REIMBURSEMENT CREDIT
REF2054,412.03,2026-06-16,USD,LICENSE FEE RECEIVED
REF2026,3603.03,2026-06-26,USD,CAMPAIGN SETTLEMENT
REF2052,105.24,2026-06-06,USD,CONTRACTOR REMITTANCE
REF2004,4613.01,2026-06-04,USD,LOAN INSTALLMENT RECEIVED
REF2032,319.49,2026-06-04,USD,PYMT RECEIVED - INV SETTLEMENT
REF2048,2626.05,2026-06-03,USD,TRANSFER IN - CLIENT FUNDS
REF2023,2799.89,2026-06-23,USD,ACH CREDIT - VENDOR SETTLEMENT
REF2017,1089.06,2026-06-17,USD,WIRE IN - SERVICES RENDERED
REF2016,4908.22,2026-06-16,USD,DIRECT DEBIT - SUBSCRIPTION
REF2041,4738.80,2026-06-13,USD,TRANSFER - EQUIPMENT SALE
REF2033,2070.63,2026-06-05,USD,CREDIT - CONSULTING FEE
REF2025,3594.38,2026-06-25,USD,PAYMENT - UTILITIES
REF2046,2762.84,2026-06-01,USD,TRANSFER - INSURANCE CLAIM
REF2059,41.67,2026-06-04,USD,RENT COLLECTION
REF2038,2421.69,2026-06-10,USD,REIMBURSEMENT CREDIT
REF2010,3951.43,2026-06-10,USD,LICENSE FEE RECEIVED
REF2047,2394.06,2026-06-02,USD,CAMPAIGN SETTLEMENT
REF2037,2378.21,2026-06-09,USD,CONTRACTOR REMITTANCE
REF2058,327.25,2026-06-03,USD,LOAN INSTALLMENT RECEIVED
REF2027,3553.84,2026-06-27,USD,PYMT RECEIVED - INV SETTLEMENT
REF2050,2905.17,2026-06-05,USD,TRANSFER IN - CLIENT FUNDS
REF2022,1534.11,2026-06-22,USD,ACH CREDIT - VENDOR SETTLEMENT
REF2051,2434.28,2026-06-06,USD,WIRE IN - SERVICES RENDERED
REF2045,3764.18,2026-06-17,USD,DIRECT DEBIT - SUBSCRIPTION
REF2013,2700.00,2026-06-13,USD,TRANSFER - EQUIPMENT SALE
REF2024,3466.96,2026-06-24,USD,CREDIT - CONSULTING FEE
REF2069,2254.97,2026-06-05,USD,PAYMENT - UTILITIES
REF2053,1063.93,2026-06-11,USD,TRANSFER - INSURANCE CLAIM
REF2042,3218.93,2026-06-14,USD,RENT COLLECTION
REF2028,3702.91,2026-06-28,USD,REIMBURSEMENT CREDIT
REF2012,2845.99,2026-06-12,USD,LICENSE FEE RECEIVED
REF2044,1821.10,2026-06-16,USD,CAMPAIGN SETTLEMENT
REF2020,2688.96,2026-06-20,USD,CONTRACTOR REMITTANCE
REF2068,2331.92,2026-06-04,USD,LOAN INSTALLMENT RECEIVED
REF2002,2169.40,2026-06-02,USD,PYMT RECEIVED - INV SETTLEMENT
REF2019,2755.21,2026-06-19,USD,TRANSFER IN - CLIENT FUNDS
REF2030,1063.44,2026-06-02,USD,ACH CREDIT - VENDOR SETTLEMENT
REF2011,3387.16,2026-06-11,USD,WIRE IN - SERVICES RENDERED
